"1";"ruRU";;" Привет, $n.";;;;;;;;;;;;;;
" 2";"ruRU";;" Привет, $N. Могу я чем-нибудь помочь?";;;;;;;;;;;;;;
" 3";"ruRU";" Приветствую, гражданин. Я прошу вас уйти, если вам не о чем просить меня.";;;;;;;;;;;;;;;
" 4";"ruRU";" Я живу только для того, чтобы служить нашему королю.";;;;;;;;;;;;;;;
" 5";"ruRU";" Проходи, гражданин. Здесь не на что смотреть.";;;;;;;;;;;;;;;
" 6";"ruRU";" На страницах книги начинают складываться сотни различных схем и схем. Вы узнаете некоторые из диаграмм, в то время как другие остаются иностранными, но знакомыми.";" На страницах книги начинают складываться сотни различных схем и схем. Вы узнаете некоторые из диаграмм, в то время как другие остаются иностранными, но знакомыми.";;;;;;;;;;;;;;
" 7";"ruRU";" Ассортимент изображений, форм и маркировок собирается вместе на ваших глазах. Книга, кажется, знает о ваших навыках в кожевенном деле и предлагает вам выбор — но будьте осторожны — вы можете выбрать только один, и как только вы это сделаете, не можете передумать!:";" Ассортимент изображений, форм и маркировок собирается вместе на ваших глазах. Книга, кажется, знает о ваших навыках в кожевенном деле и предлагает вам выбор — но будьте осторожны — вы можете выбрать только один, и как только вы это сделаете, не можете передумать!:";;;;;;;;;;;;;;
"18";"ruRU";"Оставайся рядом со мной, $N. Мы можем нуждаться друг в друге.";;;;;;;;;;;;;;;
"24";"ruRU";"Ах, $N! Маленькая птичка сказала мне, что ты придешь.$B$BТак Авиана рассылает сообщения.";;;;;;;;;;;;;;;
"34";"ruRU";"Какая профессия?";"Какая профессия?";;;;;;;;;;;;;;
"42";"ruRU";"Смертокрыл вернулся. Он захватил Грим Батол и большую часть высокогорья, и я чувствую себя почти бессильным остановить его.";;;;;;;;;;;;;;;
"48";"ruRU";"Чем я могу тебе помочь?";"Чем я могу тебе помочь?";"Чем я могу тебе помочь?";"Чем я могу тебе помочь?";"Чем я могу тебе помочь?";"Чем я могу тебе помочь?";;;;;;;;;;
"1226";"ruRU";"Ага? Ты прервал меня, так что тебе лучше иметь чертовски вескую причину для этого.";"Ага? Ты прервал меня, так что тебе лучше иметь чертовски вескую причину для этого.";;;;;;;;;;;;;;
"1228";"ruRU";"Привет, $n.";;;;;;;;;;;;;;;
"1231";"ruRU";"После падения Даларана и разрушения Кель'Таласа подобные товары стали редкостью. Но Лукан Корделл и некоторые другие наши торговцы отлично справляются с выполнением наших заказов качественными товарами.";"После падения Даларана и разрушения Кель'Таласа подобные товары стали редкостью. Но Лукан Корделл и некоторые другие наши торговцы отлично справляются с выполнением наших заказов качественными товарами.";"Я продаю только лучшее тайное снаряжение, сделанное ремесленниками и магами здесь, в городе Штормград.";"Я продаю только лучшее тайное снаряжение, сделанное ремесленниками и магами здесь, в городе Штормград.";;;;;;;;;;;;
"1232";"ruRU";"После падения Даларана и разрушения Кель'Таласа подобные товары стали редкостью. Но Лукан Корделл и некоторые другие наши торговцы отлично справляются с выполнением наших заказов качественными товарами.";"После падения Даларана и разрушения Кель'Таласа подобные товары стали редкостью. Но Лукан Корделл и некоторые другие наши торговцы отлично справляются с выполнением наших заказов качественными товарами.";"Я продаю только лучшее тайное снаряжение, сделанное ремесленниками и магами здесь, в городе Штормград.";"Я продаю только лучшее тайное снаряжение, сделанное ремесленниками и магами здесь, в городе Штормград.";;;;;;;;;;;;
"1233";"ruRU";"Сделано лучшими мастерами во всем Тельдрассиле, вручную доставлено из Калимдора в Азерот в знак растущего союза между людьми Великого Древа и людьми этой земли. Если есть что-то, что вам нужно, вы должны только спросить.";"Сделано лучшими мастерами во всем Тельдрассиле, вручную доставлено из Калимдора в Азерот в знак растущего союза между людьми Великого Древа и людьми этой земли. Если есть что-то, что вам нужно, вы должны только спросить.";;;;;;;;;;;;;;
"1234";"ruRU";"После падения Даларана и разрушения Кель'Таласа подобные товары стали редкостью. Но Лукан Корделл и некоторые другие наши торговцы отлично справляются с выполнением наших заказов качественными товарами.";"После падения Даларана и разрушения Кель'Таласа подобные товары стали редкостью. Но Лукан Корделл и некоторые другие наши торговцы отлично справляются с выполнением наших заказов качественными товарами.";"Я продаю только лучшее тайное снаряжение, сделанное ремесленниками и магами здесь, в городе Штормград.";"Я продаю только лучшее тайное снаряжение, сделанное ремесленниками и магами здесь, в городе Штормград.";;;;;;;;;;;;
"1235";"ruRU";"Лучшие предложения во всем Штормграде, друг мой, лучше не найти. Теперь, чем я могу вам помочь?";"Лучшие предложения во всем Штормграде, друг мой, лучше не найти. Теперь, чем я могу вам помочь?";"Лучшие предложения во всем Штормграде, друг мой, лучше не найти. Теперь, чем я могу вам помочь?";"Лучшие предложения во всем Штормграде, друг мой, лучше не найти. Теперь, чем я могу вам помочь?";"Просто просматриваю мои товары или есть что-то конкретное, что я могу помочь вам найти сегодня?";"Просто просматриваю мои товары или есть что-то конкретное, что я могу помочь вам найти сегодня?";;;;;;;;;;
"1236";"ruRU";"Лучшие предложения во всем Штормграде, друг мой, лучше не найти. Теперь, чем я могу вам помочь?";"Лучшие предложения во всем Штормграде, друг мой, лучше не найти. Теперь, чем я могу вам помочь?";"Лучшие предложения во всем Штормграде, друг мой, лучше не найти. Теперь, чем я могу вам помочь?";"Лучшие предложения во всем Штормграде, друг мой, лучше не найти. Теперь, чем я могу вам помочь?";"Просто просматриваю мои товары или есть что-то конкретное, что я могу помочь вам найти сегодня?";"Просто просматриваю мои товары или есть что-то конкретное, что я могу помочь вам найти сегодня?";;;;;;;;;;
"1237";"ruRU";"Лучшие предложения во всем Штормграде, друг мой, лучше не найти. Теперь, чем я могу вам помочь?";"Лучшие предложения во всем Штормграде, друг мой, лучше не найти. Теперь, чем я могу вам помочь?";"Лучшие предложения во всем Штормграде, друг мой, лучше не найти. Теперь, чем я могу вам помочь?";"Лучшие предложения во всем Штормграде, друг мой, лучше не найти. Теперь, чем я могу вам помочь?";"Просто просматриваю мои товары или есть что-то конкретное, что я могу помочь вам найти сегодня?";"Просто просматриваю мои товары или есть что-то конкретное, что я могу помочь вам найти сегодня?";;;;;;;;;;
"1238";"ruRU";"Я продаю только лучшее снаряжение, проверенное и настоящее. И цены установлены, так что если вы хотите торговаться, ищите Гоблина.";"Я продаю только лучшее снаряжение, проверенное и настоящее. И цены установлены, так что если вы хотите торговаться, ищите Гоблина.";;;;;;;;;;;;;;
"1239";"ruRU";"Я продаю только лучшее снаряжение, проверенное и настоящее. И цены установлены, так что если вы хотите торговаться, ищите Гоблина.";"Я продаю только лучшее снаряжение, проверенное и настоящее. И цены установлены, так что если вы хотите торговаться, ищите Гоблина.";;;;;;;;;;;;;;
"1240";"ruRU";"Я продаю только лучшее снаряжение, проверенное и настоящее. И цены установлены, так что если вы хотите торговаться, ищите Гоблина.";"Я продаю только лучшее снаряжение, проверенное и настоящее. И цены установлены, так что если вы хотите торговаться, ищите Гоблина.";;;;;;;;;;;;;;
"1241";"ruRU";"Пусть свет направит ваш путь и поможет вам в ваших путешествиях. Если вам понадобится помощь в просмотре, я буду прямо здесь.";"Пусть свет направит ваш путь и поможет вам в ваших путешествиях. Если вам понадобится помощь в просмотре, я буду прямо здесь.";;;;;;;;;;;;;;
"1242";"ruRU";"Пусть свет направит ваш путь и поможет вам в ваших странствиях. Если вам понадобится помощь в просмотре, я буду прямо здесь.";"Пусть свет направит ваш путь и поможет вам в ваших странствиях. Если вам понадобится помощь в просмотре, я буду прямо здесь.";;;;;;;;;;;;;;
"1243";"ruRU";"Не позволяйте людям на Базаре одурачить вас, $glad : девчонка; с метро, которое построили эти гномы, перевозить товары из Стальгорна проще, чем вы думаете. Если они попытаются взимать плату за импорт, просто скажи им, что ты купишь свое снаряжение у меня.";"Не позволяйте людям на Базаре одурачить вас, $glad : девчонка; с метро, которое построили эти гномы, перевозить товары из Стальгорна проще, чем вы думаете. Если они попытаются взимать плату за импорт, просто скажи им, что ты купишь свое снаряжение у меня.";;;;;;;;;;;;;;
"1244";"ruRU";"Ну, если это не молодой, ощетинившийся $c, несомненно, привлеченный сюда разговорами о моих подвигах на полях сражений! $B$B Сейчас не время для рассказов, ибо есть великие, важные дела, которые нужно совершить! Так что, если вы ищете славы, то сегодня вам сопутствует удача...";"Ну, если это не молодой, ощетинившийся $c, несомненно, привлеченный сюда разговорами о моих подвигах на полях сражений! $B$B Сейчас не время для рассказов, ибо есть великие, важные дела, которые нужно совершить! Так что, если вы ищете славы, то сегодня вам сопутствует удача...";;;;;;;;;;;;;;
"1249";"ruRU";"Если вы вставите вкладку A в слот B, то, конечно, это будет БУМ! Вот, позвольте мне показать вам, что у меня есть, а затем вы можете спросить Лиллиам, как это собрать, чтобы оно не взорвалось.";"Если вы вставите вкладку A в слот B, то, конечно, это будет БУМ! Вот, позвольте мне показать вам, что у меня есть, а затем вы можете спросить Лиллиам, как это собрать, чтобы оно не взорвалось.";;;;;;;;;;;;;;
"1250";"ruRU";"Никто никогда ничего отсюда не крал. Не за всю историю... за всю историю!";"Никто никогда ничего отсюда не крал. Не за всю историю... за всю историю!";"Добро пожаловать в Банк Штормграда. Мы предлагаем финансовые счета и сейфы для ценных вещей. У вас уже есть аккаунт у нас $g sir : ma'am;?";"Добро пожаловать в Банк Штормграда. Мы предлагаем финансовые счета и сейфы для ценных вещей. У вас уже есть аккаунт у нас $g sir : ma'am;?";;;;;;;;;;;;
"1252";"ruRU";"Добро пожаловать в «Синий отшельник», где собираются любители магии, чтобы выпустить пар. Хотя не буквально конечно. Что я могу вам предложить $g sir : ma'am;?";"Добро пожаловать в «Синий отшельник», где собираются любители магии, чтобы выпустить пар. Хотя не буквально конечно. Что я могу вам предложить $g sir : ma'am;?";;;;;;;;;;;;;;
"1253";"ruRU";"Послушайтесь моего совета, не сидите близко к теням.";"Послушайтесь моего совета, не сидите близко к теням.";;;;;;;;;;;;;;
"1254";"ruRU";"Добро пожаловать в Свинью и Свисток! Выпей, друг мой, и присаживайся, чем больше, тем веселее!";"Добро пожаловать в Свинью и Свисток! Выпей, друг мой, и присаживайся, чем больше, тем веселее!";;;;;;;;;;;;;;
"1255";"ruRU";"Мы единственный поставщик здоровых цветов во всем Штормграде. Мы предлагаем красивые цветы для любого случая.";"Мы единственный поставщик здоровых цветов во всем Штормграде. Мы предлагаем красивые цветы для любого случая.";;;;;;;;;;;;;;
"1256";"ruRU";"Куда ты хочешь пойти? Всего за несколько монет мои грифоны доставят вас туда быстрее, чем даже самая быстрая лошадь.";"Куда ты хочешь пойти? Всего за несколько монет мои грифоны доставят вас туда быстрее, чем даже самая быстрая лошадь.";"Эти великие звери знают тропы, которых не найти пешком, они быстро доставят вас туда и, может быть, покажут вам что-то новое.";"Эти великие звери знают тропы, которых не найти пешком, они быстро доставят вас туда и, может быть, покажут вам что-то новое.";;;;;;;;;;;;
"1257";"ruRU";"Говорите тихо и с большой осторожностью, неправильное слово в этих местах может привести к перерезанию горла. Итак, что вам нужно от меня?";"Говорите тихо и с большой осторожностью, неправильное слово в этих местах может привести к перерезанию горла. Итак, что вам нужно от меня?";;;;;;;;;;;;;;
"1258";"ruRU";"Говорите тихо и с большой осторожностью, неправильное слово в этих местах может привести к перерезанию горла. Итак, что вам нужно от меня?";"Говорите тихо и с большой осторожностью, неправильное слово в этих местах может привести к перерезанию горла. Итак, что вам нужно от меня?";;;;;;;;;;;;;;
"1259";"ruRU";"Добро пожаловать в регистратуру гильдии Штормграда. Чем я могу вам помочь сегодня?";"Добро пожаловать в регистратуру гильдии Штормграда. Чем я могу вам помочь сегодня?";;;;;;;;;;;;;;
"1260";"ruRU";"Добро пожаловать в регистратуру гильдии Штормграда. Чем я могу вам помочь сегодня?";"Добро пожаловать в регистратуру гильдии Штормграда. Чем я могу вам помочь сегодня?";;;;;;;;;;;;;;
"1261";"ruRU";"Надеюсь, ты проделал весь путь до Великой Кузницы не только для того, чтобы согреться. Говори, детка, скажи мне, что я могу для тебя сделать?";;;;;;;;;;;;;;;
"1262";"ruRU";"У тебя вид Кузнеца. Копоть под ногтями, сталь в костях. Да, в твоих жилах течет кровь кузнеца. Это означает, что вы пришли ко мне, чтобы кое-чему научиться, что ж, ладно, детка; возьми молоток. Посмотрим, чему я могу тебя научить.";;;;;;;;;;;;;;;
"1272";"ruRU";"Что Вы ищете?";"Что Вы ищете?";;;;;;;;;;;;;;
"1291";"ruRU";"Крамн — тот бык, которого вы ищете. Его можно найти на нижнем этаже в информационном центре Громового Утеса.";"Крамн — тот бык, которого вы ищете. Его можно найти на нижнем этаже в информационном центре Громового Утеса.";"Общение родственных душ может быть мощной силой. Krumn поможет вам в этом. Вы найдете его в информационном центре Громового Утеса на нижнем этаже рядом с подъемниками.";"Общение родственных душ может быть мощной силой. Krumn поможет вам в этом. Вы найдете его в информационном центре Громового Утеса на нижнем этаже рядом с подъемниками.";;;;;;;;;;;;
"1292";"ruRU";"Банк Громового Утеса можно найти на более низком подъеме.";"Банк Громового Утеса можно найти на более низком подъеме.";"Вы можете избавиться от своих мирских владений на берегу Громового Утеса на нижнем подъеме.";"Вы можете избавиться от своих мирских владений на берегу Громового Утеса на нижнем подъеме.";;;;;;;;;;;;
"1293";"ruRU";"Гнездо ветрокрылов находится на вершине тотемной лестницы в центре города.";"Гнездо ветрокрылов находится на вершине тотемной лестницы в центре города.";"Ах, парить с великими небесными птицами. Найдите Тала на вершине Уиндер Райдер Гнезда. Он направит вас туда, куда вы идете.";"Ах, парить с великими небесными птицами. Найдите Тала на вершине Уиндер Райдер Гнезда. Он направит вас туда, куда вы идете.";;;;;;;;;;;;
"1294";"ruRU";"Найдите Турака Рунический Тотем в Зале Старейшин на Утесе Древних.";"Найдите Турака Рунический Тотем в Зале Старейшин на Утесе Древних.";"Приветствую уважаемого. Турак Рунический Тотем и другие друиды ждут вас в Зале Старейшин на Возвышенности Древних.";"Приветствую уважаемого. Турак Рунический Тотем и другие друиды ждут вас в Зале Старейшин на Возвышенности Древних.";;;;;;;;;;;;
"1295";"ruRU";"Ах, тогда вам нужно будет отправиться в Зал Охотников. На Холте Охотников можно найти нескольких великих охотников, таких как Холт Громовой Рог.";"Ах, тогда вам нужно будет отправиться в Зал Охотников. На Холте Охотников можно найти нескольких великих охотников, таких как Холт Громовой Рог.";"Любой друг животных - мой друг. Зал Охотников - это то, что вы ищете. Он находится на вершине Охотничьего подъема.";"Любой друг животных - мой друг. Зал Охотников - это то, что вы ищете. Он находится на вершине Охотничьего подъема.";;;;;;;;;;;;
"1296";"ruRU";"Вы последователь тайного? Хм! Что ж, тогда... вы можете найти их возле Прудов Видения под Подъемом Духа.";"Вы последователь тайного? Хм! Что ж, тогда... вы можете найти их возле Прудов Видения под Подъемом Духа.";"Очень грустно думать о том, что случилось с этими несчастными нежитью. Вы можете найти Архимага Шимма, отражающегося возле Прудов Видения под Возвышением Духа.";"Очень грустно думать о том, что случилось с этими несчастными нежитью. Вы можете найти Архимага Шимма, отражающегося возле Прудов Видения под Возвышением Духа.";;;;;;;;;;;;
"1297";"ruRU";"Отец Кобб будет тем, с кем ты хочешь поговорить. Его можно найти под Возвышением Духа в пещере Пруды Видения.";"Отец Кобб будет тем, с кем ты хочешь поговорить. Его можно найти под Возвышением Духа в пещере Пруды Видения.";"Несмотря на свою трагедию, нежить прошла весь этот путь, чтобы помочь нам. Я только надеюсь, что мы сможем быть им полезными. Найдите отца Кобба рядом с Прудами Видения под Духовным подъемом.";"Несмотря на свою трагедию, нежить прошла весь этот путь, чтобы помочь нам. Я только надеюсь, что мы сможем быть им полезными. Найдите отца Кобба рядом с Прудами Видения под Духовным подъемом.";;;;;;;;;;;;
"1298";"ruRU";"Зал Духов — это место, где наши шаманы называют домом. Вы можете найти его на Spirit Rise. Пусть твои предки хранят тебя.";"Зал Духов — это место, где наши шаманы называют домом. Вы можете найти его на Spirit Rise. Пусть твои предки хранят тебя.";"Мать-Земля зовет, и вы отвечаете. Вы найдете Зал Духов на Подъеме Духов.";"Мать-Земля зовет, и вы отвечаете. Вы найдете Зал Духов на Подъеме Духов.";;;;;;;;;;;;
"1299";"ruRU";"Мечтаете когда-нибудь пополнить наши ряды? Сарк Тотем Ярости может помочь вам на вашем пути. Он в Охотничьем зале.";"Мечтаете когда-нибудь пополнить наши ряды? Сарк Тотем Ярости может помочь вам на вашем пути. Он в Охотничьем зале.";"Сильный телом и духом. Не может быть более сильной комбинации! Найдите свою судьбу с Сарком Тотемом Ярости в Зале Охотников.";"Сильный телом и духом. Не может быть более сильной комбинации! Найдите свою судьбу с Сарком Тотемом Ярости в Зале Охотников.";;;;;;;;;;;;
"1300";"ruRU";"Какого тренера вы ищете?";"Какого тренера вы ищете?";;;;;;;;;;;;;;
"1301";"ruRU";"Какая профессия?";"Какая профессия?";;;;;;;;;;;;;;
"1302";"ruRU";"Это увлекательно... Я слышал, как орки называли запах людей отвратительным, и я слышал, как люди называли запах орков отвратительным; тем не менее, для меня все расы этих земель источают один и тот же запах: отвратительный, головокружительный запах жадности. $B$BВы сомневаетесь в справедливости моего утверждения? Разве ты не видишь в этих вещах, которые управляют твоей жизнью, просто отток жадности, которая диктует каждое твое решение? $B$BДа будет так. Как жадность выгнала меня из дома, так жадность и вернет меня обратно.";;;;;;;;;;;;;;;
"1303";"ruRU";"Итак, ты вернулся, чтобы помочь Кум'ише, $r? Не волнуйтесь, боль, которую вы чувствуете внизу живота, — это всего лишь потеря вашей силы воли. $B$BК счастью, вам не понадобится сила воли для этой коллекции. Я уверен, что вам понравятся безделушки, которые я буду ждать вас, когда вы вернетесь с этим предметом.";;;;;;;;;;;;;;;
"1332";"ruRU";"Затем отправляйтесь в алхимию Бены на среднем подъеме и поговорите с самой Беной. Она сможет помочь вам овладеть искусством варки зелий.";"Затем отправляйтесь в алхимию Бены на среднем подъеме и поговорите с самой Беной. Она сможет помочь вам овладеть искусством варки зелий.";"Травы, встречающиеся в природе, могут стать мощным союзником в сочетании с уважением. Вам нужно будет найти Бену в ее алхимической лавке на среднем подъеме, чтобы продолжить свое обучение.";"Травы, встречающиеся в природе, могут стать мощным союзником в сочетании с уважением. Вам нужно будет найти Бену в ее алхимической лавке на среднем подъеме, чтобы продолжить свое обучение.";;;;;;;;;;;;
"1333";"ruRU";"Хочешь научиться работать наковальней и молотом, а? Карн Каменное Копыто может научить вас, как это сделать. У него есть кузница, устроенная на нижнем возвышении у пруда.";"Хочешь научиться работать наковальней и молотом, а? Карн Каменное Копыто может научить вас, как это сделать. У него есть кузница, устроенная на нижнем возвышении у пруда.";"Металл, как и все остальное, следует использовать в гармонии с природой. У Карна Каменного Копыта есть кузница рядом с прудом на нижнем холме. Ищите его мудрости.";"Металл, как и все остальное, следует использовать в гармонии с природой. У Карна Каменного Копыта есть кузница рядом с прудом на нижнем холме. Ищите его мудрости.";;;;;;;;;;;;
"1334";"ruRU";"В Громовом Утесе нет лучшего повара, чем Аска Мистраннер. Ммммм, я чувствую запах того, что она готовит отсюда. Отправляйтесь на ее кухню, расположенную на высотке. $B$BDrat... теперь я проголодался.";"В Громовом Утесе нет лучшего повара, чем Аска Мистраннер. Ммммм, я чувствую запах того, что она готовит отсюда. Отправляйтесь на ее кухню, расположенную на высотке. $B$BDrat... теперь я проголодался.";"Вы чтите духи животных, которых должны убить, не позволяя им пропадать даром. Аска Мистраннер покажет вам, как это сделать. У нее кухня на высотке.";"Вы чтите духи животных, которых должны убить, не позволяя им пропадать даром. Аска Мистраннер покажет вам, как это сделать. У нее кухня на высотке.";;;;;;;;;;;;
"1335";"ruRU";"Тогда загляните к Чародеям Рассветного Скитальца на среднем подъеме. Тег будет более чем счастлив помочь вам всем, чем сможет.";"Тогда загляните к Чародеям Рассветного Скитальца на среднем подъеме. Тег будет более чем счастлив помочь вам всем, чем сможет.";"Профессия Зачарования отображает цикл разрушения и созидания, лежащий в основе природы. Тег у Заклинателей Странников Рассвета на среднем подъеме покажет вам, как это сделать.";"Профессия Зачарования отображает цикл разрушения и созидания, лежащий в основе природы. Тег у Заклинателей Странников Рассвета на среднем подъеме покажет вам, как это сделать.";;;;;;;;;;;;
"1336";"ruRU";"Первая помощь всегда хороший навык. Много раз во время боя он спасал мою шкуру. Посетите Духовное исцеление на подъеме духа. Pand Stonebinder также может научить вас всему, что вам нужно знать, чтобы спасти свою шкуру.";"Первая помощь всегда хороший навык. Много раз во время боя он спасал мою шкуру. Посетите Духовное исцеление на подъеме духа. Pand Stonebinder также может научить вас всему, что вам нужно знать, чтобы спасти свою шкуру.";"Жизнь — это борьба, и поговорка о том, что тебя не убивает, делает тебя сильнее, не всегда верна. Иногда раны действуют медленно, поэтому у нас есть повязки. Pand Stonebinder of the Spirit Rise может научить вас искусству оказания первой помощи.";"Жизнь — это борьба, и поговорка о том, что тебя не убивает, делает тебя сильнее, не всегда верна. Иногда раны действуют медленно, поэтому у нас есть повязки. Pand Stonebinder of the Spirit Rise может научить вас искусству оказания первой помощи.";;;;;;;;;;;;
"1337";"ruRU";"Не вините себя за то, что вы занялись рыбалкой. В Мулгоре лучшие места для рыбалки в Южном Калимдоре, а в Mountaintop Bait & Tackle на высоком холме есть все необходимое снаряжение, чтобы воспользоваться им.";"Не вините себя за то, что вы занялись рыбалкой. В Мулгоре лучшие места для рыбалки в Южном Калимдоре, а в Mountaintop Bait & Tackle на высоком холме есть все необходимое снаряжение, чтобы воспользоваться им.";"Kah Mistrunner в Mountaintop Bait & Tackle на высоком холме покажет вам, как обрести внутренний покой и безмятежность во время рыбалки.";"Kah Mistrunner в Mountaintop Bait & Tackle на высоком холме покажет вам, как обрести внутренний покой и безмятежность во время рыбалки.";;;;;;;;;;;;
"1338";"ruRU";"Тогда вам стоит поговорить с Комином Винтерхуфом из Holistic Herbalism. Его можно найти на среднем подъеме.";"Тогда вам стоит поговорить с Комином Винтерхуфом из Holistic Herbalism. Его можно найти на среднем подъеме.";"Природа дает все, что нам нужно. Поговорите с Комином Зимнее Копыто в Целостном травничестве на среднем подъеме.";"Природа дает все, что нам нужно. Поговорите с Комином Зимнее Копыто в Целостном травничестве на среднем подъеме.";;;;;;;;;;;;
"1339";"ruRU";"Тогда иди к Уне в оружейную лавку Громового Утеса. Его можно найти на среднем подъеме.";"Тогда иди к Уне в оружейную лавку Громового Утеса. Его можно найти на среднем подъеме.";"Есть симметрия в представлении о том, что шкура вашего врага обеспечивает вам защиту. Чтобы улучшить свои навыки работы с кожей, найдите Уну внутри оружейников Громового Утеса на среднем подъеме.";"Есть симметрия в представлении о том, что шкура вашего врага обеспечивает вам защиту. Чтобы улучшить свои навыки работы с кожей, найдите Уну внутри оружейников Громового Утеса на среднем подъеме.";;;;;;;;;;;;
"1340";"ruRU";"Брека Каменного Копыта можно найти в Геологии Каменного Копыта на нижнем этаже, и он научит вас, как правильно добывать драгоценные руды и драгоценные камни.";"Брека Каменного Копыта можно найти в Геологии Каменного Копыта на нижнем этаже, и он научит вас, как правильно добывать драгоценные руды и драгоценные камни.";"Мать-Земля хранит множество секретов, и Брек Каменное Копыто может помочь вам раскрыть некоторые из них. Вы найдете его на нижнем этаже Геологии Каменного Копыта.";"Мать-Земля хранит множество секретов, и Брек Каменное Копыто может помочь вам раскрыть некоторые из них. Вы найдете его на нижнем этаже Геологии Каменного Копыта.";;;;;;;;;;;;
"1341";"ruRU";"Тепа известна своими тканями. Ее можно найти у оружейников Громового Утеса на среднем подъеме.";"Тепа известна своими тканями. Ее можно найти у оружейников Громового Утеса на среднем подъеме.";"Одежда для племени — такая же важная работа, как и любая другая. Вы должны искать Тепа внутри Оружейников Громового Утеса. У нее естественный способ с иглой.";"Одежда для племени — такая же важная работа, как и любая другая. Вы должны искать Тепа внутри Оружейников Громового Утеса. У нее естественный способ с иглой.";;;;;;;;;;;;
"1343";"ruRU";"Муранта может помочь вам научиться снимать шкуры. Ее можно найти рядом с Оружейниками Громового Утеса на среднем подъеме.";"Муранта может помочь вам научиться снимать шкуры. Ее можно найти рядом с Оружейниками Громового Утеса на среднем подъеме.";"Каждый использованный клочок делает нас менее расточительными и приближает нас к Матери-Земле. Муранта может показать вам путь. Ищите ее рядом с Оружейниками Громового Утеса на среднем подъеме.";"Каждый использованный клочок делает нас менее расточительными и приближает нас к Матери-Земле. Муранта может показать вам путь. Ищите ее рядом с Оружейниками Громового Утеса на среднем подъеме.";;;;;;;;;;;;
"1351";"ruRU";"Звери этих выжженных земель обладают сверхъестественными качествами, доселе невиданными в природе.$B$BМы предположили, что энергия, высвободившаяся при открытии Темного портала, влилась в их физическое существо и заставила существ эволюционировать в их нынешние формы. .$B$BНесомненно, это страшные звери, но мы также считаем, что они могут оказаться весьма полезными в наших исследованиях.$B$BPВозможно, вам будет интересно помочь нам в изучении этих зверей, $N?$ Б";;;;;;;;;;;;;;;
"1371";"ruRU";;"В то время как мой брат, Дразиал, сосредотачивает свой анализ на более физической природе зверей выжженных земель, я, как правило, сосредотачиваюсь на более интеллектуальных и духовных аспектах дикой природы. , ловкость и выносливость, но некоторые из них также обладают высоким интеллектом и регенеративными способностями, не связанными с их физическим существом.$B$BPВозможно, вам будет интересно помочь продвинуть мои исследования, $r?$B";;;;;;;;;;;;;;
"1391";"ruRU";"Трудно представить, что столько смертей и отчаяния могло быть ограничено такой маленькой территорией; но за болотом лежит земля, охваченная хаосом и разрушением.$B$BОсторожно, искатель приключений. Выжженные земли — последнее пристанище для гораздо более могущественных существ, чем вы.";;;;;;;;;;;;;;;
"1392";"ruRU";"Они называли нас Хватка Тралла: двадцать самых опытных и заслуженных солдат Тралла. Прошли недели без вестей от вождя; мужчины забеспокоились.$B$BЭто был приговор, $N. Я был молод и амбициозен, ничего не боялся. Батальон должен был отправиться в Выжженные земли под моим командованием. Решение $B$BA, о котором я позже сожалел.";;;;;;;;;;;;;;;
"1411";"ruRU";"Сожалеть. Это все, что у меня есть сейчас. Одно неверное решение привело к нескольким ужасным последствиям. Если бы я только дождался этих приказов. Может быть, они подробно рассказали бы об ужасах, ожидающих нас в этих проклятых землях! Может быть, они должны были перенаправить нас на другую деталь? В конце концов, это была моя вина. Все это было моей ошибкой.";;;;;;;;;;;;;;;
"1451";"ruRU";"Поверите ли вы, что в самый темный час, на пике своего существования, я потерпел неудачу. Я бежал от бессмысленного уничтожения сокрушивших нас сил, и единственными звуками, которые я мог слышать, были крики моих солдат и учащенное биение моего собственного сердца. Через некоторое время я вернулся в Выжженные земли в надежде спасти своих людей и восстановить свою честь. Вместо этого меня схватили и избили до смерти.$B$BТо, что я узнал во время дознания и последующих пыток, было ужасающим.";;;;;;;;;;;;;;;
