"id","locale","achievment","achievment_condition","title","VerifiedBuild"
1518,"ruRU","Поймано рыб","Поймано рыб",,-1
1552,"ruRU","Зажигательное настроение","Выстрелите из 10 праздничных хлопушек за 30 секунд или менее.",,-1
1727,"ruRU","Падающая башня","Разрушьте башню на Озере Ледяных Оков.",,-1
1800,"ruRU","Запредельный гурман","Приготовьте все блюда из Запределья, перечисленные ниже.",,-1
2193,"ruRU","Эксперт по взрывчатым веществам","В течение одного сражения заложите 5 сефориевых зарядов, наносящих повреждения стене.",,-1
2497,"ruRU","Весеннее обострение","Найдите своему спутнику – весеннему кролику – пару в каждом из перечисленных ниже городов.",,-1
2760,"ruRU","Превозносимый чемпион Дарнаса","Добейтесь превознесения в Дарнасе и права представлять город на Серебряном турнире.","Наградное звание: Дарнасский",-1
2862,"ruRU","Победы над Ходиром (Ульдуар, 10 игроков)","Победы над Ходиром (Ульдуар, 10 игроков)",,-1
2907,"ruRU","Гараж на три машины (10 игроков)","Убейте Огненного Левиафана в рейде на 10 игроков в каждом из следующих средств передвижения.",,-1
2908,"ruRU","Гараж на три машины (25 игроков)","Убейте Огненного Левиафана в рейде на 25 игроков в каждом из следующих средств передвижения.",,-1
3596,"ruRU","Подвиги странника","Выполните все ежедневные задания на Пиршестве странников.",,-1
3800,"ruRU","Король-предатель (10 игроков)","Убейте 40 скарабеев из роя за 30 секунд в рейде на 10 игроков.",,-1
3816,"ruRU","Король-предатель (25 игроков)","Убейте 40 скарабеев из роя за 30 секунд в рейде на 25 игроков.",,-1
3838,"ruRU","Эмблемы подземелий и рейдов","Получите одну эмблему героизма, доблести, завоевания, триумфа или льда.",,-1
3847,"ruRU","Автопарк","Захватите контроль над перечисленными ниже транспортными средствами на Острове Завоеваний:",,-1
4053,"ruRU","Победы над чемпионом-шаманом (Испытание чемпиона, героич.)","Победы над чемпионом-шаманом (Испытание чемпиона, героич.)",,-1
4631,"ruRU","Залы Ледокрылых (героич., 10 игроков)","Убейте всех боссов Залов Ледокрылых в Цитадели Ледяной Короны в героическом режиме в рейде на 10 игроков.",,-1
4635,"ruRU","Залы Ледокрылых (героич., 25 игроков)","Убейте всех боссов Залов Ледокрылых в Цитадели Ледяной Короны в героическом режиме в рейде на 25 игроков.",,-1
4719,"ruRU","Убийства Ика и Крика (Яма Сарона, героич.)",,,-1
36,"ruRU","Империя Зул'Драк","Выполните 100 заданий в Зул'Драке.",,-1
54,"ruRU","Сражения на Оке Бури","Сражения на Оке Бури",,-1
103,"ruRU","Бои в Круге Крови","Бои в Круге Крови",,-1
156,"ruRU","Господство в землях Арати","Выиграйте 10 сражений в Низине Арати, захватив все 5 флагов.",,-1
201,"ruRU","Рационализация Ущелья","Одержите победу в Ущелье Песни Войны менее чем за 7 минут.",,-1
226,"ruRU","Альтеракский блиц","Выиграйте сражение в Альтеракской долине за 6 минут.",,-1
306,"ruRU","Лучший рыболов Азерота","Одержите победу в состязании рыболовов Пиратской Бухты или в калуакском рыбоборье.",,-1
332,"ruRU","Самый дорогой лот из проданных","Самый дорогой лот из проданных",,-1
460,"ruRU","1-й на сервере! Маг 80-го уровня","Первый маг на сервере, достигший 80-го уровня.",,-1
486,"ruRU","Чертоги Молний","Убейте боссов в Чертогах Молний.",,-1
497,"ruRU","Чертоги Молний (героич.)","Убейте боссов в Чертогах Молний в героическом режиме.",,-1
576,"ruRU","Падение Наксрамаса (10 игроков)","Убейте всех боссов в Наксрамасе в рейде на 10 игроков.",,-1
577,"ruRU","Падение Наксрамаса (25 игроков)","Убейте всех боссов в Наксрамасе в рейде на 25 игроков.",,-1
587,"ruRU","Убийца с Ока Бури","Одержите 5 почетных побед на каждой базе за время одного сражения на Оке Бури.",,-1
636,"ruRU","Курганы Иглошкурых","Убейте Амненнара Хладовея.",,-1
654,"ruRU","Темный лабиринт","Убейте Бормотуна.",,-1
705,"ruRU","Искусство владения оружием","Доведите навык боя четырьмя видами оружия до 400.",,-1
846,"ruRU","Тысяча игл","Исследуйте Тысячу игл, открыв все их области на карте.",,-1
858,"ruRU","Призрачные земли","Исследуйте Призрачные земли, открыв все их области на карте.",,-1
870,"ruRU","100000 почетных побед в PvP","Одержите 100000 почетных побед.","Наградное звание: Сын Орды или Альянса",-1
901,"ruRU","Маг'хар из Дренора","Добейтесь того, чтобы вас превозносили маг'хары.",,-1
937,"ruRU","Благословение Элуны","Выполните задание ""Благословение Элуны"", убив Омена.",,-1
973,"ruRU","5 ежедневных заданий","Выполните 5 ежедневных заданий.",,-1
1010,"ruRU","Авангард Нордскола","Добейтесь того, чтобы вас превозносили Серебряный Авангард, Драконий союз, Кирин-Тор и Рыцари Черного Клинка.",,-1
1015,"ruRU","Превознесение среди 40 фракций","Добейтесь того, чтобы вас превозносили 40 фракций.","Наградное звание: Превозносимый",-1
1029,"ruRU","Погасить костры Калимдора","Оскверните праздничные костры Орды в Калимдоре.",,-1
1041,"ruRU","Подпорченный праздник","Выполните все задания, чтобы испортить праздник Тыквовина Альянсу: съездите в Южнобережье, забросайте вражеский город бомбами и подбросьте тухлых яиц в бочки с элем.",,-1
1044,"ruRU","Броски костей ""Мне это нужно""","Броски костей ""Мне это нужно""",,-1
1076,"ruRU","Убийства Эонуса (Открытие Темного портала)","Убийства Эонуса (Открытие Темного портала)",,-1
1098,"ruRU","Убийства Ониксии (Логово Ониксии)","Убийства Ониксии (Логово Ониксии)",,-1
1103,"ruRU","Пройденные подземелья Lich King (5 игроков)","Пройденные подземелья Lich King (5 игроков)",,-1
1109,"ruRU","Почетных убийств на арене 5 на 5","Почетных убийств на арене 5 на 5",,-1
1159,"ruRU","Только ты и я: 2200","Заслужите 2200 очков личного рейтинга в команде арены 2 на 2 на 80-м уровне.",,-1
1186,"ruRU","Покончить с Черным Железом","Защитите лагерь Хмельного фестиваля от нападения дворфов Черного Железа и выполните задание ""Однажды, напившись в...""",,-1
1193,"ruRU","На пиках скал","Выполните 86 заданий в Острогорье.",,-1
1234,"ruRU","Убийства Пророка Тарон'джа (Крепость Драк'Тарон)","Убийства Пророка Тарон'джа (Крепость Драк'Тарон)",,-1
1270,"ruRU","Ледяная Корона","Исследуйте Ледяную Корону, открыв все ее области на карте.",,-1
1302,"ruRU","Количество различных выпитых зелий маны","Количество различных выпитых зелий маны",,-1
1312,"ruRU","Чертовски редкие","Убейте редких и неуловимых существ из Запределья, перечисленных ниже.",,-1
1456,"ruRU","Количество выловленной рыбы и других вещей","Количество выловленной рыбы и других вещей",,-1
1494,"ruRU","Смертельные удары на арене 5 на 5","Смертельные удары на арене 5 на 5",,-1
1544,"ruRU","Наивысший уровень навыка в инженерном деле","Наивысший уровень навыка в инженерном деле",,-1
1687,"ruRU","Пусть сильнее грянет вьюга!","Во время Зимнего Покрова найдите персонажей перечисленных классов и рас и бросьте горсть снежинок в каждого.",,-1
1694,"ruRU","Тебе повезет в любви","Откройте коробку с красивым платьем и найдите в ней красивое черное платье.",,-1
1751,"ruRU","Ни единого шанса","Убейте из башенной пушки 20 игроков, едущих верхом.",,-1
1762,"ruRU","Ни царапины","Выиграйте битву за Берег Древних, не потеряв ни одной осадной машины.",,-1
1777,"ruRU","Нордскольский гурман","Приготовьте 15 нордскольских блюд из приведенного списка.",,-1
2217,"ruRU","Самый смертоносный босс в рейдах Lich King (10 игроков)","Самый смертоносный босс в рейдах Lich King (10 игроков)",,-1
2420,"ruRU","Сад чудес","Спрячьте раскрашенное яйцо в Луносвете.",,-1
2778,"ruRU","Чемпион Экзодара","Заслужите право представлять Экзодар на Серебряном турнире.",,-1
2863,"ruRU","Победы над Торимом (Ульдуар, 10 игроков)","Победы над Торимом (Ульдуар, 10 игроков)",,-1
2909,"ruRU","Уничтожитель пушек (10 игроков)","Уничтожьте оборонную пушку Огненного Левиафана в рейде на 10 игроков.",,-1
2910,"ruRU","Уничтожитель пушек (25 игроков)","Уничтожьте оборонную пушку Огненного Левиафана в рейде на 25 игроков.",,-1
3457,"ruRU","Сундук капитана","Выпейте с Жутким Капитаном де Мезой, чтобы присоединиться к ее команде в День пирата.",,-1
3597,"ruRU","Подвиги странника","Выполните все ежедневные задания на Пиршестве странников.",,-1
3808,"ruRU","Дань умению (10 игроков)","Проходя испытание великого крестоносца в рейде из 10 игроков, доберитесь до сундука с наградами. При этом у вас должно остаться не менее 25 попыток.",,-1
3817,"ruRU","Дань умению (25 игроков)","Проходя испытание великого крестоносца в рейде из 25 игроков, доберитесь до сундука с наградами. При этом у вас должно остаться не менее 25 попыток.",,-1
3839,"ruRU","25 эмблем подземелий и рейдов","Получите 25 эмблем героизма, доблести, завоевания, триумфа или льда.",,-1
3848,"ruRU","Оглушительный сюрприз","Заложите 5 сефориевых бомб у вражеских ворот за одно сражение на Острове Завоеваний.",,-1
4054,"ruRU","Победы над чемпионом-воином (Испытание чемпиона)","Победы над чемпионом-воином (Испытание чемпиона)",,-1
4530,"ruRU","Ледяной Трон (10 игроков)","Убейте Короля-лича в Цитадели Ледяной Короны в рейде на 10 игроков.","Наградное звание: свергнувший Короля",-1
4597,"ruRU","Ледяной Трон (25 игроков)","Убейте Короля-лича в Цитадели Ледяной Короны в рейде на 25 игроков.","Наградное звание: свергнувший Короля",-1
4720,"ruRU","Убийства Повелителя Плети Тирания (Яма Сарона)",,,-1
16,"ruRU","Кому зуботычину?","Доведите свой навык рукопашного боя до 400.",,-1
39,"ruRU","В Низину","Выполните 75 заданий в Низине Шолазар.",,-1
50,"ruRU","Победы на Оке Бури","Победы на Оке Бури",,-1
104,"ruRU","Победы в Круге Крови","Победы в Круге Крови",,-1
159,"ruRU","У нас все получится!","Выиграйте сражение в Низине Арати за 6 минут.",,-1
204,"ruRU","Железный человек","В течение одного сражения в Ущелье Песни Войны трижды захватите флаг и доставьте на свою базу, не умерев ни разу.",,-1
223,"ruRU","Больная газель","Убейте врага, не успевшего спешиться, на Поле Брани в Альтеракской долине.",,-1
293,"ruRU","Дебошир","Напейтесь в стельку и, надев три предмета из набора Хмельного фестиваля, станцуйте в Даларане.",,-1
324,"ruRU","Смерти от боссов, рейд Lich King (25 игроков)","Смерти от боссов, рейд Lich King (25 игроков)",,-1
402,"ruRU","Трое – уже банда: 1550","Заслужите 1550 очков личного рейтинга в команде арены 3 на 3 на 80-м уровне.",,-1
459,"ruRU","1-й на сервере! Воин 80-го уровня","Первый воин на сервере, достигший 80-го уровня.",,-1
487,"ruRU","Окулус","Убейте боссов в Окулусе.",,-1
498,"ruRU","Окулус (героич.)","Убейте боссов Окулуса в героическом режиме.",,-1
578,"ruRU","Горстка смельчаков (10 игроков)","Убейте боссов Наксрамаса в рейде на 10 игроков. В зоне должно быть меньше 9 человек.",,-1
579,"ruRU","Горстка смельчаков (25 игроков)","Убейте боссов Наксрамаса в рейде на 25 игроков. В зоне должно быть меньше 21 человека.",,-1
637,"ruRU","Монастырь Алого ордена","Убейте всех представителей Алого ордена в Монастыре Алого ордена.",,-1
655,"ruRU","Открытие Темного портала","Убейте Эонуса.",,-1
726,"ruRU","Шкатулка с волшебным речным раком","Получите шкатулку с волшебным речным раком от мистера Пинчи.",,-1
762,"ruRU","Посланник Орды","Добейтесь того, чтобы вас превозносили в 5 столицах.","Наградное звание: Посланник",-1
780,"ruRU","Красногорье","Исследуйте Красногорье, открыв все его области на карте.",,-1
847,"ruRU","Когтистые горы","Исследуйте Когтистые горы, открыв все их области на карте.",,-1
902,"ruRU","Главный превозносительный директор","Добейтесь того, чтобы вас превозносил Консорциум.",,-1
912,"ruRU","Предки Восточных королевств","Почтите предков в Восточных королевствах.",,-1
921,"ruRU","Получено золота от торговцев","Получено золота от торговцев",,-1
923,"ruRU","Выпито эликсиров","Выпито эликсиров",,-1
974,"ruRU","50 ежедневных заданий","Выполните 50 ежедневных заданий.",,-1
1011,"ruRU","Северные ветра","Добейтесь того, чтобы вас превозносила Экспедиция Орды.",,-1
1030,"ruRU","Погасить костры Запределья","Оскверните праздничные костры Орды в Запределье.",,-1
1077,"ruRU","Убийства Полководца Калитреша (Паровое подземелье)","Убийства Полководца Калитреша (Паровое подземелье)",,-1
1099,"ruRU","Убийства Рагнароса (Огненные Недра)","Убийства Рагнароса (Огненные Недра)",,-1
1104,"ruRU","Пройденные подземелья Lich King (10 игроков)","Пройденные подземелья Lich King (10 игроков)",,-1
1113,"ruRU","Почетных побед в Альтеракской долине","Почетных побед в Альтеракской долине",,-1
1157,"ruRU","Дуэлянт","Победите другого игрока в дуэли.",,-1
1194,"ruRU","В Пустоту","Выполните 120 заданий в Пустоверти.",,-1
1258,"ruRU","С пылу с жару","Убейте персонажа, находящегося в состоянии берсерка на Оке Бури.",,-1
1261,"ruRU","Безумие Г.Л.А.Д.О.С.Т.И.","Одержите 50 почетных побед в PvP, находясь под воздействием Г.Л.А.Д.О.С.Т.И. Взбесите врага!",,-1
1495,"ruRU","Смертельные удары в Альтеракской долине","Смертельные удары в Альтеракской долине",,-1
1508,"ruRU","Убийства Пророка Тарон'джа (Крепость Драк'Тарон, героич.)","Убийства Пророка Тарон'джа (Крепость Драк'Тарон, героич.)",,-1
1526,"ruRU","Выполнено ежедневных рыболовных заданий","Выполнено ежедневных рыболовных заданий",,-1
1683,"ruRU","Хмелевар","Добейтесь указанных ниже достижений на Хмельном фестивале.","Наградное звание: Хмелевар",-1
1685,"ruRU","Братское приветствие","Коснитесь веткой омелы ордынских ""братьев"" во время празднования Зимнего Покрова.",,-1
1703,"ruRU","Моя любовь подобна алой розе","Получите букет красных или черных роз во время Любовной лихорадки.",,-1
1734,"ruRU","Изучено инженерных чертежей","Изучено инженерных чертежей",,-1
1778,"ruRU","Нордскольский гурман","Приготовьте 30 нордскольских блюд из приведенного списка.",,-1
2080,"ruRU","Черный боевой мамонт","Получите черного боевого мамонта.",,-1
2192,"ruRU","Ни царапины","Выиграйте битву за Берег Древних, не потеряв ни одной осадной машины.",,-1
2256,"ruRU","Освоение Севера","Убейте одно из исключительно редких северных существ, перечисленных ниже.",,-1
2421,"ruRU","Сад чудес","Спрячьте раскрашенное яйцо в Штормграде.",,-1
2761,"ruRU","Превозносимый чемпион Экзодара","Добейтесь превознесения в Экзодаре и права представлять город на Серебряном турнире.","Наградное звание: Экзодарский",-1
2864,"ruRU","Победы над Фрейей (Ульдуар, 10 игроков)","Победы над Фрейей (Ульдуар, 10 игроков)",,-1
2911,"ruRU","Остановка (10 игроков)","Убейте Огненного Левиафана в рейде на 10 игроков, не допустив остановки системы.",,-1
2912,"ruRU","Остановка (25 игроков)","Убейте Огненного Левиафана в рейде на 25 игроков, не допустив остановки системы.",,-1
3558,"ruRU","Вся соль в хлебосольности","Передайте сотрапезникам за пиршественным столом по одному блюду каждого вида.",,-1
3809,"ruRU","Дань искусству (10 игроков)","Проходя испытание великого крестоносца в рейде из 10 игроков, доберитесь до сундука с наградами. При этом у вас должно остаться не менее 45 попыток.",,-1
3818,"ruRU","Дань искусству (25 игроков)","Проходя испытание великого крестоносца в рейде из 25 игроков, доберитесь до сундука с наградами. При этом у вас должно остаться не менее 45 попыток.",,-1
3840,"ruRU","50 эмблем подземелий и рейдов","Получите 50 эмблем героизма, доблести, завоевания, триумфа или льда.",,-1
3849,"ruRU","Ошеломительный сюрприз","Заложите 5 мощных сефориевых бомб у вражеских ворот за одно сражение на Острове Завоеваний.",,-1
4055,"ruRU","Победы над чемпионом-воином (Испытание чемпиона, героич.)","Победы над чемпионом-воином (Испытание чемпиона, героич.)",,-1
4583,"ruRU","Победа над падшим Королем","Убейте Короля-лича в Цитадели Ледяной Короны в рейде на 10 игроков в героическом режиме.","Наградное звание: победивший падшего Короля",-1
4584,"ruRU","Сияние Рассвета","Убейте Короля-лича в Цитадели Ледяной Короны в рейде на 25 игроков в героическом режиме.","Наградное звание: Сияние Рассвета",-1
4721,"ruRU","Убийства Повелителя Плети Тирания (Яма Сарона, героич.)",,,-1
4778,"ruRU","Броски ""Распылить"" при разделе добычи","Броски ""Распылить"" при разделе добычи",,-1
38,"ruRU","Верховья Грозовой Гряды","Выполните 100 заданий в Грозовой Гряде.",,-1
162,"ruRU","Они нам дышали в затылок…","Выиграйте сражение в Низине Арати, оторвавшись от противника на 10 очков (1600 к 1590).",,-1
220,"ruRU","Превосходство Грозовой Вершины","Выиграйте сражение в Альтеракской долине, не потеряв ни одного капитана и не уступив ни одной башни. Вы должны удерживать контроль над всеми башнями Орды.",,-1
233,"ruRU","Кровожадный берсерк","Нанесите смертельный удар, находясь в состоянии берсерка на Оке Бури.",,-1
245,"ruRU","Вот это класс!","Одержите почетную победу в PvP, убив по одному персонажу каждого класса.",,-1
291,"ruRU","У вас что-то с головой","Наденьте тыквы на головы представителям следующих рас.",,-1
303,"ruRU","С бочкой едешь – дальше будешь","Получите верховое животное Хмельного фестиваля или превратите в него свое средство передвижения, используя пивные дрожжи.",,-1
403,"ruRU","Трое – уже банда: 1750","Заслужите 1750 очков личного рейтинга в команде арены 3 на 3 на 80-м уровне.",,-1
458,"ruRU","1-й на сервере! Разбойник 80 уровня","Первый разбойник на сервере, достигший 80-го уровня.",,-1
488,"ruRU","Вершина Утгард","Убейте боссов с Вершины Утгард.",,-1
499,"ruRU","Вершина Утгард (героич.)","Убейте боссов Вершины Утгард в героическом режиме.",,-1
546,"ruRU","Банковская ячейка","Купите 7 дополнительных ячеек в банке.",,-1
638,"ruRU","Ульдаман","Убейте Аркедаса.",,-1
656,"ruRU","Паровое подземелье","Убейте Полководца Калитреша.",,-1
712,"ruRU","Всадник из клана Песни Войны","Добейтесь того, чтобы вас превозносили Всадники Песни Войны.",,-1
778,"ruRU","Сумеречный лес","Исследуйте Сумеречный лес, открыв все его области на карте.",,-1
848,"ruRU","Пустоши","Исследуйте Пустоши, открыв все их области на карте.",,-1
878,"ruRU","Рыбка не ускользнула","Поймайте одну из редких рыб, перечисленных ниже.",,-1
900,"ruRU","Царь Спореггара","Добейтесь того, чтобы вас превозносил Спореггар.",,-1
911,"ruRU","Предки Калимдора","Почтите предков в Калимдоре.",,-1
948,"ruRU","Посланник Альянса","Добейтесь того, чтобы вас превозносили в 5 столицах.","Наградное звание: Посланник",-1
975,"ruRU","200 ежедневных заданий","Выполните 200 ежедневных заданий.",,-1
1012,"ruRU","Северные ветра","Добейтесь того, чтобы вас превозносил Авангард Альянса.",,-1
1035,"ruRU","Осквернение костров Орды","Погасите костры в Восточных королевствах, Калимдоре и Запределье.",,-1
1078,"ruRU","Убийства Вождя Каргата Острорука (Разрушенные залы)","Убийства Вождя Каргата Острорука (Разрушенные залы)",,-1
1100,"ruRU","Убийства Нефариана (Логово Крыльев Тьмы)","Убийства Нефариана (Логово Крыльев Тьмы)",,-1
1114,"ruRU","Почетных побед в Низине Арати","Почетных побед в Низине Арати",,-1
1146,"ruRU","Кол-во золота, потраченное на путешествия","Кол-во золота, потраченное на путешествия",,-1
1195,"ruRU","Тень Предателя","Выполните 90 заданий в Долине Призрачной Луны.",,-1
1235,"ruRU","Убийства Синигосы (Аметистовая крепость)","Убийства Синигосы (Аметистовая крепость)",,-1
1303,"ruRU","Самый часто используемый эликсир","Самый часто используемый эликсир",,-1
1496,"ruRU","Смертельные удары в Низине Арати","Смертельные удары в Низине Арати",,-1
1538,"ruRU","Наивысший уровень навыка в травничестве","Наивысший уровень навыка в травничестве",,-1
1547,"ruRU","Сражения в Стоках Даларана","Сражения в Стоках Даларана",,-1
1549,"ruRU","Сражения на Береге Древних",,,-1
1684,"ruRU","Хмелевар","Добейтесь указанных ниже достижений на Хмельном фестивале.","Наградное звание: Хмелевар",-1
1686,"ruRU","Братское приветствие","Коснитесь веткой омелы всех ""Братьев"" из Альянса во время празднования Зимнего Покрова.",,-1
1697,"ruRU","Всенародная любовь","Выполните ежедневное задание на создание чудесного браслета-оберега во всех столицах Альянса.",,-1
1763,"ruRU","Ветеран артиллерии","Уничтожьте 100 средств передвижения с помощью турели.",,-1
1768,"ruRU","Пройденные подземелья Lich King (25 игроков)","Пройденные подземелья Lich King (25 игроков)",,-1
1779,"ruRU","Нордскольский гурман","Приготовьте 45 нордскольских блюд из приведенного списка.",,-1
1858,"ruRU","Арахнофобия (10 игроков)","Убейте Мексну в течение 20 минут после смерти Ануб'Рекана в рейде на 10 игроков.",,-1
1859,"ruRU","Арахнофобия (25 игроков)","Убейте Мексну в течение 20 минут после смерти Ануб'Рекана в рейде на 25 игроков.",,-1
2085,"ruRU","50 осколков каменного хранителя","Получите из добычи 50 осколков каменного хранителя.",,-1
2218,"ruRU","Самый смертоносный босс Lich King (25 игроков)","Самый смертоносный босс Lich King (25 игроков)",,-1
2257,"ruRU","Обморожение","Убейте всех исключительно редких северных существ, перечисленных ниже.",,-1
2422,"ruRU","Под сенью кроличьего уха","При помощи весенних цветов наденьте кроличьи ушки на женских персонажей разных рас минимум 18-го уровня.",,-1
2779,"ruRU","Чемпион Гномрегана","Заслужите право представлять Изгнанников Гномрегана на Серебряном турнире.",,-1
2865,"ruRU","Победы над Мимироном (Ульдуар, 10 игроков)","Победы над Мимироном (Ульдуар, 10 игроков)",,-1
2913,"ruRU","Орбитальная бомбардировка (10 игроков)","Убейте Огненного Левиафана в рейде на 10 игроков, оставив работающей хотя бы одну орбитальную систему защиты.",,-1
2918,"ruRU","Орбитальная бомбардировка (25 игроков)","Убейте Огненного Левиафана в рейде на 25 игроков, оставив работающей одну орбитальную систему защиты.",,-1
3582,"ruRU","Индейское нашествие на Тероккар","Нарядитесь в шляпу странника, а также в платье, наряд или одеяние странника, и в таком виде победите короля воронов Айкисса.",,-1
3810,"ruRU","Дань безумству (10 игроков)","Проходя испытание великого крестоносца в рейде из 10 игроков, доберитесь до сундука с наградами. При этом у вас должно остаться не менее 50 попыток.",,-1
3819,"ruRU","Дань безумству (25 игроков)","Проходя испытание великого крестоносца в рейде из 25 игроков, доберитесь до сундука с наградами. При этом у вас должно остаться не менее 50 попыток.",,-1
3841,"ruRU","100 эмблем подземелий и рейдов","Получите 100 эмблем героизма, доблести, завоевания, триумфа или льда.",,-1
3850,"ruRU","Мрачный урожай","Уничтожьте 10 транспортных средств и 100 персонажей с помощью турелей на Острове Завоеваний.",,-1
4022,"ruRU","Победы над исповедницей Пейлтресс (Испытание чемпиона)","Победы над исповедницей Пейлтресс (Испытание чемпиона)",,-1
4532,"ruRU","Падение Короля-лича (10 игроков)","Убейте всех боссов в Цитадели Ледяной Короны в рейде на 10 игроков.",,-1
4608,"ruRU","Падение Короля-лича (25 игроков)","Убейте всех боссов в Цитадели Ледяной Короны в рейде на 25 игроков.",,-1
4722,"ruRU","Убийства Фалрика (Залы Отражений)",,,-1
40,"ruRU","Цель – Ледяная Корона","Выполните 140 заданий в Ледяной Короне.",,-1
211,"ruRU","Да будет буря!","Пока ваша команда удерживает 4 башни на Оке Бури, лично захватите флаг и отнесите его в одну из башен.",,-1
246,"ruRU","Знай врага","Одержите почетную победу в PvP, убив по одному представителю 5 разных рас.",,-1
283,"ruRU","Маскарад","Испытайте действие всех волшебных палочек, меняющих внешность.",,-1
405,"ruRU","Трое – уже банда: 2000","Заслужите 2000 очков личного рейтинга в команде арены 3 на 3 на 80-м уровне.",,-1
479,"ruRU","Очищение Стратхольма","Убейте боссов в зоне Пещеры Времени: Стратхольм.",,-1
500,"ruRU","Очищение Стратхольма (героич.)","Убейте боссов в зоне Пещеры Времени: Стратхольм в героическом режиме.",,-1
639,"ruRU","Зул'Фаррак","Убейте Вождя Укорза Песчаную Плешь.",,-1
657,"ruRU","Разрушенные залы","Убейте Вождя Каргата Острорука.",,-1
710,"ruRU","Осквернитель","Добейтесь того, чтобы вас превозносили в клане Осквернителей.",,-1
713,"ruRU","Часовой Среброкрылых","Добейтесь того, чтобы вас превозносили Среброкрылые Часовые.",,-1
752,"ruRU","Смерти в Наксрамасе","Смерти в Наксрамасе",,-1
772,"ruRU","Предгорья Хилсбрада","Исследуйте Предгорья Хилсбрада, открыв все их области на карте.",,-1
850,"ruRU","Пылевые топи","Исследуйте Пылевые топи, открыв все его области на карте.",,-1
873,"ruRU","Превосходство Северного Волка","Выиграйте сражение в Альтеракской долине, не потеряв ни одного капитана и не уступив ни одной башни. Вы должны удерживать контроль над всеми башнями Альянса.",,-1
903,"ruRU","Раздел Шаттрата","Добейтесь того, чтобы вас превозносили Провидцы или Алдоры.",,-1
942,"ruRU","Дипломат","Добейтесь того, чтобы Крепость Древобрюхов, Спореггар и куренай изменили отношение к вам с неприязни на превознесение.","Наградное звание: Дипломат",-1
976,"ruRU","500 ежедневных заданий","Выполните 500 ежедневных заданий.",,-1
1025,"ruRU","Хранитель огня Восточных королевств","Почтите огни Восточных королевств.",,-1
1079,"ruRU","Убийства Паталеона Вычислителя (Механар)","Убийства Паталеона Вычислителя (Механар)",,-1
1101,"ruRU","Убийства К'Туна (Храм Ан'Кираж)","Убийства К'Туна (Храм Ан'Кираж)",,-1
1115,"ruRU","Почетных побед в Ущелье Песни Войны","Почетных побед в Ущелье Песни Войны",,-1
1147,"ruRU","Кол-во золота, потраченного в парикмахерских","Кол-во золота, потраченного в парикмахерских",,-1
1176,"ruRU","Деньги-деньги, дребеденьги","Добудьте 100 золотых монет из поверженных врагов.",,-1
1275,"ruRU","Сбрасывай бомбу!","Выполните задание ""Огонь над Скеттисом"" меньше чем за 2 минуты 15 секунд.",,-1
1304,"ruRU","Количество различных выпитых эликсиров","Количество различных выпитых эликсиров",,-1
1396,"ruRU","Предки Нордскола","Посетите всех предков в Нордсколе.",,-1
1404,"ruRU","1-й на сервере! Гном 80-го уровня","Первый гном на сервере, достигший 80-го уровня.",,-1
1467,"ruRU","Убийства боссов в подземельях Lich King (5 игроков)","Убийства боссов в подземельях Lich King (5 игроков)",,-1
1497,"ruRU","Смертельные удары в Ущелье Песни Войны","Смертельные удары в Ущелье Песни Войны",,-1
1509,"ruRU","Убийства Синигосы (Аметистовая крепость, героич.)","Убийства Синигосы (Аметистовая крепость, героич.)",,-1
1539,"ruRU","Наивысший уровень навыка в начертании","Наивысший уровень навыка в начертании",,-1
1548,"ruRU","Победы в Стоках Даларана","Победы в Стоках Даларана",,-1
1550,"ruRU","Победы на Береге Древних",,,-1
1656,"ruRU","Да тыквится имя твое","Добейтесь всех достижений в честь Тыквовина, указанных ниже.","Наградное звание: Тыквер",-1
1688,"ruRU","Зимние угощения","Во время Зимнего Покрова приготовьте имбирное печенье, гоголь-моголь и горячий яблочный сидр.",,-1
1698,"ruRU","Всенародная любовь","Выполните ежедневное задание на создание чудесного браслета-оберега во всех столицах Орды.",,-1
1836,"ruRU","Старый Хитрюга","Выудите Старого Хитрюгу в Оргриммаре.",,-1
1856,"ruRU","Порежем на лоскутики (10 игроков)","Убейте Лоскутика в рейде на 10 игроков в течение 3 минут.",,-1
1857,"ruRU","Порезать на лоскутики (25 игроков)","Убейте Лоскутика в рейде на 25 игроков в течение 3 минут.",,-1
1998,"ruRU","Даларанская кулинарная награда","Получите даларанскую кулинарную награду.",,-1
2082,"ruRU","Ледяной мамонт","Получите ледяного мамонта.",,-1
2086,"ruRU","100 осколков каменного хранителя","Получите из добычи 100 осколков каменного хранителя.",,-1
2189,"ruRU","Эксперт по артиллерии","Уничтожьте 5 средств передвижения с помощью турели за одно сражение.",,-1
2436,"ruRU","Роза пустыни","Используйте весеннее убранство, чтобы посадить цветок во всех пустынях, указанных ниже.",,-1
2762,"ruRU","Превозносимый чемпион Гномрегана","Добейтесь превознесения в Гномрегане и права представлять город на Серебряном турнире.","Наградное звание: Гномреганский",-1
2866,"ruRU","Убийства генерала Везакса (Ульдуар, 10 игроков)","Убийства генерала Везакса (Ульдуар, 10 игроков)",,-1
2914,"ruRU","Орбитальное опустошение (10 игроков)","Убейте Огненного Левиафана в рейде на 10 игроков, оставив работающими хотя бы две орбитальных системы защиты.",,-1
