"ID";"content_default";"content_loc8"
"342";"%s is now not following you.";"%s больше не подписан на вас."
"343";"Creature (Entry: %u) cannot be tamed.";"Существо (Запись: %u) нельзя приручить."
"344";"You already have a pet.";"У вас уже есть питомец."
"345";"customization for player %s will be requested at next login.";"настройка для игрока %s будет запрошена при следующем входе в систему."
"346";"customization for player %s (GUID #%u) will be requested at next login.";"настройка для игрока %s (GUID #%u) будет запрошена при следующем входе в систему."
"347";"TaxiNode ID %u not found!";"Идентификатор TaxiNode %u не найден!"
"348";"Game Object (Entry: %u) contains invalid data and can't be spawned.";"Игровой объект (запись: %u) содержит недопустимые данные и не может быть создан."
"349";"%d (idx:%d) - |cffffffff|Htitle:%d|h[%s %s]|h|r %s %s ";"%d (idx:%d) - |cffffffff|Htitle:%d|h[%s %s]|h|r %s %s"
"350";"%d (idx:%d) - [%s %s] %s %s ";"%d (idx:%d) - [%s %s] %s %s"
"351";"No titles found!";"Заголовки не найдены!"
"352";"Invalid title id: %u";"Недопустимый идентификатор заголовка: %u"
"353";"Title %u (%s) added to known titles list for player %s.";"Титул %u (%s) добавлен в список известных титулов для игрока %s."
"354";"Title %u (%s) removed from known titles list for player %s.";"Титул %u (%s) удален из списка известных титулов для игрока %s."
"355";"Title %u (%s) set as current selected title for player %s.";"Титул %u (%s) установлен как текущий выбранный титул для игрока %s."
"356";"Current selected title for player %s is now reset to not known.";"Текущий выбранный титул для игрока %s теперь сбрасывается на «неизвестно»."
"357";"Cheat Command Status:";"Статус чит-команды:"
"358";"Godmode: %s.";"Режим Бога: %s."
"359";"Casttime: %s.";"Время применения: %s."
"360";"Cooldown: %s.";"Перезарядка: %s."
"361";"Power: %s.";"Сила: %s."
"362";"Waterwalk: %s.";"Водный путь: %s."
"363";"Player %s cannot whisper you any longer.";"Игрок %s больше не может вам шептать."
"364";"Taxinodes: %s.";"Таксиноды: %s."
"365";"### USAGE: .achievement add <achievement> Add an achievement, specified by ID or link, to the targeted player.";"### ИСПОЛЬЗОВАНИЕ: .achievement add <достижение> Добавить достижение, указанное по идентификатору или ссылке, целевому игроку."
"366";"### USAGE: .account set addon [<accountname>] <expansion> Sets the specified account's, or targeted player's account's expansion level. 0 = WoW, 1 = TBC, 2 = WotLK.";"### ИСПОЛЬЗОВАНИЕ: .account set addon [<имя учетной записи>] <расширение> Устанавливает уровень расширения указанной учетной записи или учетной записи целевого игрока. 0 = WoW, 1 = уточняется, 2 = WotLK."
"367";"### USAGE: .account set sec regmail <accountname> <email> <confirm email> Replaces the registration email on record for the specified account.";"### ИСПОЛЬЗОВАНИЕ: .account set sec regmail <accountname> <email> <confirm email> Заменяет регистрационный адрес электронной почты в записи для указанной учетной записи."
"368";"### USAGE: .account set sec email <accountname> <email> <confirm email> Replaces the email on record for the specified account.";"### ИСПОЛЬЗОВАНИЕ: .account set sec email <accountname> <email> <confirm email> Заменяет адрес электронной почты в записи для указанной учетной записи."
"369";"### USAGE: .account set 2fa <accountname> <secret> Provide a base32 encoded secret to setup two-factor authentication for the account. Specify 'off' to disable two-factor authentication for the account.";"### ИСПОЛЬЗОВАНИЕ: .account set 2fa <accountname> <secret> Укажите секрет в кодировке base32 для настройки двухфакторной аутентификации для учетной записи. Укажите «выкл», чтобы отключить двухфакторную аутентификацию для учетной записи."
"370";"### USAGE: .account set seclevel [<accountname>] <level> [<realm>] Set the security level for the specified account, or the targeted player's account, to the specified level on the specified realm. Cannot be used on self. Levels range from 0 (player) to 3 (administrator). Realm ID defaults to -1 (all realms).";"### ИСПОЛЬЗОВАНИЕ: .account set seclevel [<имя учетной записи>] <уровень> [<область>] Установите уровень безопасности для указанной учетной записи или учетной записи целевого игрока на указанный уровень в указанной области. Нельзя использовать на себя. Уровни варьируются от 0 (игрок) до 3 (администратор). Идентификатор области по умолчанию равен -1 (все области)."
"371";"### USAGE: .account set password <accountname> <password> <confirm password> Changes the password for the specified account.";"### ИСПОЛЬЗОВАНИЕ: .account set password <имя учетной записи> <пароль> <подтвердить пароль> Изменяет пароль для указанной учетной записи."
"372";"### USAGE: .account 2fa setup Begins setup of two-factor authentication for this account.";"### ИСПОЛЬЗОВАНИЕ: .account 2fa setup Начинает настройку двухфакторной аутентификации для этой учетной записи."
"373";"### USAGE: .account 2fa remove <token> Provide a current 2FA token to disable two-factor authentication for this account.";"### ИСПОЛЬЗОВАНИЕ: .account 2fa remove <token> Укажите текущий токен 2FA, чтобы отключить двухфакторную аутентификацию для этой учетной записи."
"374";"### USAGE: .account addon <expansion> Sets this account's expansion level. 0 = WoW, 1 = TBC, 2 = WotLK.";"### ИСПОЛЬЗОВАНИЕ: .account addon <расширение> Устанавливает уровень расширения этой учетной записи. 0 = WoW, 1 = уточняется, 2 = WotLK."
"375";"### USAGE: .account create <name> <password> [<email>] Creates a new account with the specified password and email (if specified).";"### ИСПОЛЬЗОВАНИЕ: .account create <name> <password> [<email>] Создает новую учетную запись с указанным паролем и адресом электронной почты (если он указан)."
"376";"### USAGE: .account delete <name> Deletes the specified account. Cannot be used on self while connected.";"### ИСПОЛЬЗОВАНИЕ: .account delete <имя> Удаляет указанную учетную запись. Нельзя использовать на себя при подключении."
"377";"### USAGE: .account email <old email> <password> <new email> <confirm new email> Changes the email on record for this account.";"### ИСПОЛЬЗОВАНИЕ: .account email <старый адрес электронной почты> <пароль> <новый адрес электронной почты> <подтвердить новый адрес электронной почты> Изменяет адрес электронной почты в записи для этой учетной записи."
"378";"### USAGE: .account onlinelist Shows a list of all currently-connected accounts.";"### ИСПОЛЬЗОВАНИЕ: .account onlinelist Показывает список всех подключенных в данный момент учетных записей."
"379";"### USAGE: .account lock country <on/off> While enabled, you will only be able to log in from IP addresses in your current country.";"### ИСПОЛЬЗОВАНИЕ: .account lock country <on/off> Если этот параметр включен, вы сможете входить в систему только с IP-адресов в вашей текущей стране."
"380";"### USAGE: .account lock ip <on/off> While enabled, you will only be able to log in from your current IP address.";"### ИСПОЛЬЗОВАНИЕ: .account lock ip <on/off> Если этот параметр включен, вы сможете войти в систему только с вашего текущего IP-адреса."
"381";"### USAGE: .account password <old password> <new password> <confirm password> [<email>] Changes the password for this account. Whether you need to specify your email address depends on the server settings.";"### ИСПОЛЬЗОВАНИЕ: .account password <старый пароль> <новый пароль> <подтверждение пароля> [<email>] Изменяет пароль для этой учетной записи. Необходимость указания адреса электронной почты зависит от настроек сервера."
"382";"### USAGE: .account Prints information about the current account.";"### ИСПОЛЬЗОВАНИЕ: .account Выводит информацию о текущей учетной записи."
"383";"### USAGE: .learn <spell> [all] Teaches the specified spell. If 'all' is specified, teaches all ranks of the spell instead.";"### ИСПОЛЬЗОВАНИЕ: .learn <заклинание> [все] Обучает указанному заклинанию. Если указано «все», вместо этого обучает всем рангам заклинания."
"384";"### USAGE: .unlearn <spell> [all] Removes the specified spell from the target's spellbook. If 'all' is specified, removes all ranks of the spell instead.";"### ИСПОЛЬЗОВАНИЕ: .unlearn <заклинание> [все] Удаляет указанное заклинание из книги заклинаний цели. Если указано «все», вместо этого удаляются все ранги заклинания."
"385";"### USAGE: .learn my quests Teaches you any spells your class can obtain through class quests.";"### ИСПОЛЬЗОВАНИЕ: .learn my quests Обучает вас любым заклинаниям, которые ваш класс может получить с помощью классовых квестов."
"386";"### USAGE: .learn my trainer Teaches you any spells you could currently train at your class trainer.";"### ИСПОЛЬЗОВАНИЕ: .learn my Trainer Обучает вас любым заклинаниям, которые вы в настоящее время можете обучить у своего тренера."
"387";"### USAGE: .learn all blizzard Teaches you all available Blizzard internal spells.";"### ИСПОЛЬЗОВАНИЕ: .learn all blizzard Обучает вас всем доступным внутренним заклинаниям Blizzard."
"388";"### USAGE: .learn all debug Teaches you a set of spells useful for testing raid encounters. You shouldn't be using GM commands during testing - they can cause weird behavior on their own!";"### ИСПОЛЬЗОВАНИЕ: .learn all debug Обучает набору заклинаний, полезных для тестирования рейдовых столкновений. Вы не должны использовать команды GM во время тестирования - они сами по себе могут вызвать странное поведение!"
"389";"### USAGE: .learn all crafts [<player>] Teaches the specified player, or target/self, all available professions and recipes";"### ИСПОЛЬЗОВАНИЕ: .learn all crafts [<player>] Обучает указанного игрока или цель/себя всем доступным профессиям и рецептам."
"390";"### USAGE: .learn all default [<player>] Teaches the specified player, or target/self, all default spells for their race/class, as well as any quests they have unlocked through quests.";"### ИСПОЛЬЗОВАНИЕ: .learn all default [<player>] Обучает указанного игрока или цель/себя всем заклинаниям по умолчанию для его расы/класса, а также любым квестам, которые он разблокировал с помощью квестов."
"391";"### USAGE: .learn all languages Teaches all available languages.";"### ИСПОЛЬЗОВАНИЕ: .learn all languages Обучает всем доступным языкам."
"392";"### USAGE: .learn all recipes <profession> Teaches all recipes for the given profession.";"### ИСПОЛЬЗОВАНИЕ: .learn all recipes <profession> Обучает всем рецептам данной профессии."
"393";"### USAGE: .learn all talents Unlocks all talents for the player's class.";"### ИСПОЛЬЗОВАНИЕ: .learn all Talents Открывает все таланты класса игрока."
"394";"### USAGE: .learn all pettalents Unlocks all talents for the player's pet.";"### ИСПОЛЬЗОВАНИЕ: .learn all pettalents Открывает все таланты питомца игрока."
"400";"|cffff0000[System Message]:|rScripts reloaded";"|cffff0000[Системное сообщение]:|rScripts перезагружены"
"401";"Security level of account %s changed to %i.";"Уровень безопасности учетной записи %s изменен на %i."
"402";"%s changed your security level to %i.";"%s изменил ваш уровень безопасности на %i."
"403";"Your security level is too low for this action.";"Ваш уровень безопасности слишком низок для этого действия."
"404";"Creature movement disabled.";"Движение существ отключено."
"405";"Creature movement enabled.";"Движение существ включено."
"406";"Weather can't be changed for this zone.";"Погода не может быть изменена для этой зоны."
"407";"Weather system disabled at server.";"Система погоды отключена на сервере."
"408";"%s is banned for %s. Reason: %s.";"%s забанен для %s. Причина: %s."
"409";"%s is banned permanently for %s.";"%s заблокирован навсегда для %s."
"410";"%s %s not found";"%s %s не найдено"
"411";"%s unbanned.";"%s разблокирован."
"412";"There was an error removing the ban on %s.";"Произошла ошибка при снятии запрета на %s."
"413";"Account %s does not exist.";"Аккаунт %s не существует."
"414";"There is no such character.";"Нет такого персонажа."
"415";"There is no such IP in banlist.";"Такого IP в банлисте нет."
"416";"Account %s has never been banned.";"Аккаунт %s никогда не блокировался."
"417";"Ban history for account %s:";"История банов для учетной записи %s:"
"418";"Ban Date: %s Bantime: %s Still active: %s  Reason: %s Set by: %s";"Дата бана: %s Время бана: %s Все еще активно: %s Причина: %s Установлено: %s"
"419";"Inf.";"Инф."
"420";"Never";"Никогда"
"421";"Yes";"Да"
"422";"No";"Нет"
"423";"IP: %s Ban Date: %s Unban Date: %s Remaining: %s Reason: %s Set by: %s";"IP: %s Дата бана: %s Дата разбана: %s Осталось: %s Причина: %s Установлено: %s"
"424";"There is no matching IPban.";"Нет подходящего IP-бана."
"425";"There is no matching account.";"Нет соответствующей учетной записи."
"426";"There is no banned account owning a character matching this part.";"Нет заблокированной учетной записи, владеющей персонажем, соответствующим этой части."
"427";"The following IPs match your pattern:";"Следующие IP-адреса соответствуют вашему шаблону:"
"428";"The following accounts match your query:";"Вашему запросу соответствуют следующие аккаунты:"
"429";"You learned many spells/skills.";"Вы изучили много заклинаний/навыков."
"430";"You learned all spells for class.";"Вы выучили все заклинания для класса."
"431";"You learned all talents for class.";"Вы изучили все таланты для класса."
"432";"You learned all languages.";"Вы выучили все языки."
"433";"You learned all crafts, skills and recipes.";"Вы узнали все ремесла, навыки и рецепты."
"434";"Could not find '%s'";"Не удалось найти ""%s"""
"435";"Invalid item id: %u";"Недопустимый идентификатор элемента: %u"
"436";"No items found!";"Ничего не найдено!"
"437";"Invalid gameobject id: %u";"Недопустимый идентификатор игрового объекта: %u"
"438";"Found items %u: %u ( inventory %u mail %u auction %u guild %u)";"Найдено предметов %u: %u ( инвентарь %u почта %u аукцион %u гильдия %u)"
"439";"Found gameobjects %u: %u ";"Найдено игровых объектов %u: %u"
"440";"Invalid creature id: %u";"Недопустимый идентификатор существа: %u"
"441";"Found creatures %u: %u ";"Найдено существ %u: %u"
"442";"No area found!";"Область не найдена!"
"443";"No item sets found!";"Наборы предметов не найдены!"
"444";"No skills found!";"Навыки не найдены!"
"445";"No spells found!";"Заклинания не найдены!"
"446";"No quests found!";"Квесты не найдены!"
"447";"No creatures found!";"Существа не найдены!"
"448";"No gameobjects found!";"Игровые объекты не найдены!"
"449";"Graveyard #%u doesn't exist.";"Кладбище #%u не существует."
"450";"Graveyard #%u is already linked to zone #%u (current).";"Кладбище #%u уже связано с зоной #%u (текущая)."
"451";"Graveyard #%u linked to zone #%u (current).";"Кладбище #%u связано с зоной #%u (текущая)."
"452";"Graveyard #%u can not be linked to subzone or nonexistent zone #%u (internal error).";"Кладбище #%u не может быть связано с подзоной или несуществующей зоной #%u (внутренняя ошибка)."
"453";"│Player %s %s (guid: %u)";"│Игрок %s %s (гид: %u)"
"454";"No faction found in Graveyard with id= #%u, please update your database.";"На кладбище не найдена фракция с id= #%u, пожалуйста, обновите базу данных."
"455";"Invalid team, please update your database.";"Недопустимая команда, пожалуйста, обновите базу данных."
"456";"any";"Любые"
"457";"alliance";"альянс"
"458";"horde";"орда"
"459";"Graveyard #%u (faction: %s) is nearest from linked to zone #%u.";"Кладбище #%u (фракция: %s) находится ближе всего к зоне #%u."
"460";"Zone #%u doesn't have linked graveyards.";"В зоне #%u нет связанных кладбищ."
"461";"Zone #%u doesn't have linked graveyards for faction: %s.";"В зоне #%u нет связанных кладбищ фракции: %s."
"462";"Teleport location already exists!";"Местоположение телепорта уже существует!"
"463";"Teleport location added.";"Добавлено местоположение телепорта."
"464";"Teleport location NOT added: database error.";"Местоположение телепорта НЕ добавлено: ошибка базы данных."
"465";"Teleport location deleted.";"Местоположение телепорта удалено."
"466";"No taxinodes found!";"Таксиноды не обнаружены!"
"467";"Target unit has %d auras:";"Целевой юнит имеет %d аур:"
"468";"id: %d %s effmask: %d charges: %d stack: %d slot %d duration: %d maxduration: %d %s %s caster: %s guid: %d";"id: %d %s effmask: %d зарядов: %d stack: %d слот %d продолжительность: %d maxduration: %d %s %s заклинатель: %s guid: %d"
"469";"Target unit has %d auras of type %d:";"Целевой юнит имеет %d аур типа %d:"
"470";"id: %d eff: %d amount: %d";"идентификатор: %d эффективность: %d количество: %d"
"471";"Quest %u not found.";"Квест %u не найден."
"472";"Quest %u is started from an item. Add the item to your inventory and start the quest normally: .additem %u";"Квест %u запускается с предмета. Добавьте предмет в свой инвентарь и начните квест как обычно: .additem %u"
"473";"Quest removed.";"Квест удален."
"474";"[rewarded]";"[награда]"
"475";"[complete]";"[полный]"
"476";"[active]";"[активный]"
"477";"%s's Fly Mode %s";"Режим полета %s %s"
"478";"Opcode %u sent to %s";"Код операции %u отправлен %s"
"479";"Character loaded successfully!";"Персонаж успешно загружен!"
"480";"Failed to load the character!";"Не удалось загрузить персонажа!"
"481";"Character dumped successfully!";"Персонаж сброшен успешно!"
"482";"Character dump failed!";"Не удалось создать дамп персонажа!"
"483";"Spell %u broken and not allowed to cast or learn!";"Заклинание %u сломано и не может быть разыграно или изучено!"
"484";"Skill %u (%s) for player %s set to %u and current maximum set to %u (without permanent (talent) bonuses).";"Навык %u (%s) для игрока %s установлен на %u, а текущий максимум установлен на %u (без постоянных (талант) бонусов)."
"485";"Player %s must have the skill %u (%s) before using this command.";"Игрок %s должен иметь навык %u (%s) перед использованием этой команды."
"486";"Invalid skill id (%u)";"Недопустимый идентификатор навыка (%u)"
"487";"You learned default GM spells/skills.";"Вы изучили стандартные заклинания/навыки GM."
"488";"You already know that spell.";"Ты уже знаешь это заклинание."
"489";"Target(%s) already knows that spell.";"Цель(%s) уже знает это заклинание."
"490";"%s doesn't know that spell.";"%s не знает этого заклинания."
"491";"You have already unlearnt that spell.";"Вы уже разучились этому заклинанию."
"492";"All spell cooldowns removed for %s.";"Все перезарядки заклинаний удалены на %s."
"493";"Spell %u cooldown removed for %s.";"Перезарядка заклинания %u удалена на %s."
"494";"Command : Additem, itemId = %i, amount = %i to %s";"Команда: добавить элемент, itemId = %i, количество = %i до %s"
"495";"Command : Additemset, itemsetId = %i";"Команда: Additemset, itemsetId = %i"
"496";"Removed itemID = %i, amount = %i from %s";"Удален itemID = %i, сумма = %i из %s"
"497";"Cannot create item '%i' (amount: %i)";"Невозможно создать элемент ""%i""(количество: %i)"
"498";"You need to provide a guild name!";"Вам необходимо указать название гильдии!"
"499";"Player not found!";"Игрок не найден!"
"500";"That player is already in a guild.";"Этот игрок уже состоит в гильдии."
"501";"The guild was NOT created. Check if that guild already exists.";"Гильдия НЕ создана. Проверьте, существует ли уже эта гильдия."
"502";"No items from the itemset '%u' were found.";"Элементы из набора элементов ""%u""не найдены."
"503";"The distance is: (3D) %f (2D) %f (Exact 3D) %f (Exact 2D) %f yards.";"Расстояние составляет: (3D) %f (2D) %f (точное 3D) %f (точное 2D) %f ярдов."
"504";"Item '%i' '%s' Item Slot %i";"Предмет '%i' '%s' Ячейка предмета %i"
"505";"Item '%i' doesn't exist.";"Элемент ""%i""не существует."
"506";"Item '%i' '%s' added to slot %i.";"Элемент '%i' '%s' добавлен в слот %i."
"507";"Item save failed!";"Не удалось сохранить элемент!"
"508";"%d - owner: %s (guid: %u account: %u ) %s";"%d - владелец: %s (руководство: %u учетная запись: %u ) %s"
"509";"%d - sender: %s (guid: %u account: %u ) receiver: %s (guid: %u account: %u ) %s";"%d - отправитель: %s (руководство: учетная запись %u: %u ) получатель: %s (руководство: учетная запись %u: %u ) %s"
"510";"%d - owner: %s (guid: %u account: %u ) %s";"%d - владелец: %s (руководство: %u учетная запись: %u ) %s"
"511";"Wrong link type!";"Неверный тип ссылки!"
"512";"%d - |cffffffff|Hitem:%d:0:0:0:0:0:0:0:0|h[%s]|h|r ";"%d - |cffffffff|Элемент:%d:0:0:0:0:0:0:0:0|ч[%s]|ч|r"
"513";"%d - |cffffffff|Hquest:%d:%d|h[%s]|h|r %s";"%d - |cffffffff|Hquest:%d:%d|h[%s]|h|r %s"
"514";"%d - |cffffffff|Hcreature_entry:%d|h[%s]|h|r ";"%d - |cffffffff|Hcreature_entry:%d|h[%s]|h|r"
"515";"%d - |cffffffff|Hcreature:%d|h[%s X:%f Y:%f Z:%f MapId:%d]|h|r %s %s";"%d - |cffffffff|Hcreature:%d|h[%s X:%f Y:%f Z:%f MapId:%d]|h|r %s %s"
"516";"%d - |cffffffff|Hgameobject_entry:%d|h[%s]|h|r ";"%d - |cffffffff|Hgameobject_entry:%d|h[%s]|h|r"
"517";"%d (Entry: %d) - |cffffffff|Hgameobject:%d|h[%s X:%f Y:%f Z:%f MapId:%d]|h|r %s %s";"%d (Запись: %d) - |cffffffff|Hgameobject:%d|h[%s X:%f Y:%f Z:%f MapId:%d]|h|r %s %s"
"518";"%d - |cffffffff|Hitemset:%d|h[%s %s]|h|r ";"%d - |cffffffff|Набор элементов:%d|h[%s %s]|h|r"
"519";"|cffffffff|Htele:%s|h[%s]|h|r ";"|cffffffff|Hтеле:%s|h[%s]|h|r"
"520";"%d - |cffffffff|Hspell:%d|h[%s]|h|r ";"%d - |cffffffff|Hspell:%d|h[%s]|h|r"
"521";"%d - |cffffffff|Hskill:%d|h[%s %s]|h|r %s %s";"%d - |cffffffff|Hskill:%d|h[%s %s]|h|r %s %s"
"522";"Game Object (Entry: %u) not found";"Игровой объект (запись: %u) не найден"
"523";">> Game Object %s (GUID: %u) at %f %f %f. Orientation %f.";">> Игровой объект %s (GUID: %u) в %f %f %f. Ориентация %f."
"524";"Selected object: |cffffffff|Hgameobject:%d|h[%s]|h|r GUID: %u ID: %u X: %f Y: %f Z: %f MapId: %u Orientation: %f Phasemask %u";"Выбранный объект: |cffffffff|Hgameobject:%d|h[%s]|h|r GUID: %u ID: %u X: %f Y: %f Z: %f MapId: %u Ориентация: %f Phasemask % ты"
"525";">> Add Game Object '%u' (%s) (GUID: %u) added at '%f %f %f'.";">> Добавить игровой объект '%u' (%s) (GUID: %u), добавленный в '%f %f %f'."
"526";"%s (lowguid: %u) movement generators stack:";"Стек генераторов движения %s (lowguid: %u):"
"527";"  Idle";"Праздный"
"528";"  Random";"Случайный"
"529";"  Waypoint";"путевая точка"
"531";"  Confused";"Смущенный"
"532";"  Targeted to player %s (lowguid %u)";"Ориентирован на игрока %s (lowguid %u)"
"533";"  Targeted to creature %s (lowguid %u)";"Нацелено на существо %s (lowguid %u)"
"534";"  Targeted to <NULL>";"Таргетинг на <NULL>"
"535";"  Home movement to (X:%f Y:%f Z:%f)";"Движение домой к (X:%f Y:%f Z:%f)"
"536";"  Home movement used for player?!?";"Домашнее движение, используемое для игрока?!?"
"537";"  Taxi flight";"Полет на такси"
"538";"  Unknown movement generator (%u)";"Неизвестный генератор движения (%u)"
"539";"NPC currently selected by player: Name: %s SpawnID: %u, current GUID low: %u. Entry: %u. Faction: %u. NPC Flags: %u. DisplayID: %u (Native: %u).";"NPC, выбранный в данный момент игроком: Имя: %s SpawnID: %u, текущий низкий GUID: %u. Запись: %u. Фракция: %u. Флаги NPC: %u. DisplayID: %u (собственный: %u)."
"540";"Level: %u.";"Уровень: %u."
"541";"Health (base): %u. (max): %u. (current): %u.";"Здоровье (базовое): %u. (макс.): %u. (текущий): %u."
"542";"Unit Flags 2: %u. Dynamic Flags: %u. Faction Template: %u.";"Флаги юнита 2: %u. Динамические флаги: %u. Шаблон фракции: %u."
"543";"Loot: %u Pickpocket: %u Skinning: %u";"Добыча: %u Карманник: %u Снятие шкур: %u"
"544";"Position: %f %f %f.";"Позиция: %f %f %f."
"545";"* is vendor (%u)";"* является поставщиком (%u)"
"546";"* is trainer (%u)";"* является тренером (%u)"
"547";"InstanceID: %u";"ID экземпляра: %u"
"548";"│ GM Mode active, Phase: -1";"│ Режим GM активен, Фаза: -1"
"549";"├─ Banned: (Type: %s, Reason: %s, Time: %s, By: %s)";"├─ Запрещено: (Тип: %s, Причина: %s, Время: %s, Автор: %s)"
"550";"├─ Muted: (Reason: %s, Time: %s, By: %s)";"├─ Приглушено: (Причина: %s, Время: %s, Автор: %s)"
"551";"%s has explored all zones now.";"%s исследовал все зоны."
"552";"%s no longer has any explored zones.";"%s больше не имеет исследованных зон."
"553";"%s has explored all zones for you.";"%s изучил для вас все зоны."
"554";"%s has hidden all zones from you.";"%s скрыл от вас все зоны."
"555";"SetData performed on [GUID: %u, entry: %u, name: %s] Field: %u, Data: %u, with %s";"SetData выполняется для [GUID: %u, запись: %u, имя: %s] Поле: %u, данные: %u, с %s"
"556";"Found nearby creatures (distance %f): %u";"Найдено существ поблизости (расстояние %f): %u"
"557";"%s leveled you up to (%i).";"%s повысил ваш уровень до (%i)."
"558";"%s leveled you down to (%i).";"%s понизил ваш уровень до (%i)."
"559";"%s has reset your level progress.";"%s сбросил ваш прогресс уровня."
"560";"The area has been set as explored.";"Район признан разведанным."
"561";"The area has been set as not explored.";"Район указан как неисследованный."
"562";"GUID=%i 's updateIndex: %i, value:  %i.";"GUID=%i 's updateIndex: %i, значение: %i."
"563";"You change GUID=%i 's UpdateIndex: %i value to %i.";"Вы меняете значение GUID=%i UpdateIndex: %i на %i."
"564";"The value index %u is too big for %u (count: %u).";"Индекс значения %u слишком велик для %u (количество: %u)."
"565";"Set %u uint32 Value:[OPCODE]:%u [VALUE]:%u";"Установите значение %u uint32: [КОД ОПЦИИ]:%u [ЗНАЧЕНИЕ]:%u"
"566";"You Set %u Field:%u to uint32 Value: %u";"Вы устанавливаете %u Поле:%u в значение uint32: %u"
"567";"Set %u float Value:[OPCODE]:%u [VALUE]:%f";"Установить %u значение с плавающей запятой: [OPCODE]:%u [VALUE]:%f"
"568";"You Set %u Field:%i to float Value: %f";"Вы устанавливаете %u Field:%i в значение с плавающей запятой: %f"
"569";"Get %u uint32 Value:[OPCODE]:%u [VALUE]:%u";"Получить значение %u uint32: [КОД ОПЕРАЦИИ]:%u [ЗНАЧЕНИЕ]:%u"
"570";"The uint32 value of %u in %u is: %u";"Значение uint32 %u в %u: %u"
"571";"Get %u float Value:[OPCODE]:%u [VALUE]:%f";"Получить %u значение с плавающей запятой: [OPCODE]:%u [VALUE]:%f"
"572";"The float of %u value in %u is: %f";"Поплавок значения %u в %u: %f"
"573";".Set32Bit:[OPCODE]:%u [VALUE]:%u";".Set32Bit:[OPCODE]:%u [ЗНАЧЕНИЕ]:%u"
"574";"You set Bit of Field:%u to Value: %u";"Вы устанавливаете бит поля:%u в значение:%u"
"575";".Mod32Value:[OPCODE]:%u [VALUE]:%i";".Mod32Value:[КОД ОПЕРАЦИИ]:%u [ЗНАЧЕНИЕ]:%i"
"576";"You modified the value of Field:%u to Value: %u";"Вы изменили значение поля:%u на значение: %u"
"577";"You are now invisible.";"Теперь ты невидим."
"578";"You are now visible.";"Теперь вы видны."
"579";"The selected player or creature does not have a victim.";"У выбранного игрока или существа нет жертвы."
"580";"Player %s has learned all default spells for race/class and spell rewards from completed quests.";"Игрок %s выучил все заклинания по умолчанию для расы/класса и заклинания, полученные в награду за выполненные квесты."
"581";"Found nearby gameobjects (distance %f): %u";"Найдено ближайших игровых объектов (расстояние %f): %u"
"582";"SpawnTime: Full:%s Remaining:%s";"SpawnTime: Полный:%s Осталось:%s"
"583";"%d - |cffffffff|Hgameevent:%d|h[%s]|h|r%s";"%d - |cffffffff|Hgameevent:%d|h[%s]|h|r%s"
"584";"No event found.";"Событие не найдено."
"585";"The event does not exist.";"Событие не существует."
"586";"Event %u: %s%s Start: %s End: %s Occurence: %s Length: %s Next state change: %s";"Событие %u: %s%s Начало: %s Конец: %s Возникновение: %s Продолжительность: %s Следующее изменение состояния: %s"
"587";"The event %u is already active.";"Событие %u уже активно."
"588";"The event %u is not active.";"Событие %u не активно."
"589";"  Point movement to (X:%f Y:%f Z:%f)";"Перемещение точки к (X:%f Y:%f Z:%f)"
"590";"  Fear movement";"Движение страха"
"591";"  Distract movement";"Отвлекать движение"
"592";"You have learned all spells from the craft: %s";"Вы изучили все заклинания ремесла: %s"
"593";"Currently Banned Accounts:";"Текущие заблокированные аккаунты:"
"594";"|    Account    |   BanDate    |   UnbanDate  |  Banned By    |   Ban Reason  |";"| Аккаунт | БанДате | UnbanDate | Запрещен | Причина бана |"
"595";"Currently Banned IPs:";"В настоящее время заблокированные IP-адреса:"
"596";"|      IP       |   BanDate    |   UnbanDate  |  Banned By    |   Ban Reason  |";"| ИП | БанДате | UnbanDate | Запрещен | Причина бана |"
"597";"Current gamemasters:";"Текущие гейммастера:"
"598";"|    Account    |  GM  |";"| Аккаунт | ГМ |"
"599";"No gamemasters.";"Нет гейммастеров."
"600";"Failed to remove itemID = %i, amount = %i, from %s (No such item exists in target's inventory)";"Не удалось удалить itemID = %i, количество = %i, из %s (такого предмета нет в инвентаре цели)"
"705";"You must wait %s before speaking again.";"Вы должны подождать %s, прежде чем говорить снова."
"706";"Item(s) can not be equipped or stored in the inventory due to a problem.";"Предмет(ы) не могут быть экипированы или сохранены в инвентаре из-за проблемы."
"707";"%s does not wish to be disturbed: %s";"%s не хочет, чтобы его беспокоили: %s"
"708";"%s is Away from Keyboard: %s";"%s находится далеко от клавиатуры: %s"
"709";"Do not Disturb";"Не беспокоить"
"710";"Away from Keyboard";"Вдали от клавиатуры"
"711";"Queue status for %s (Lvl: %u to %u) Queued alliances: %u (Need at least %u more) Queued hordes: %u (Need at least %u more)";"Статус в очереди для %s (уровень: от %u до %u) Альянсы в очереди: %u (нужно еще как минимум %u) Орды в очереди: %u (нужно больше как минимум %u)"
"712";"|cffff0000[BG Queue Announcer]:|r %s -- [%u-%u] A: %u/%u, H: %u/%u|r";"|cffff0000[Диктор очереди BG]:|r %s -- [%u-%u] A: %u/%u, H: %u/%u|r"
"713";"You must be level %u to join an arena team!";"Вы должны быть уровня %u, чтобы присоединиться к команде арены!"
